inquisit.build,computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,Reward_N2_1,fixedAmount_N2_1,IP12_1,Reward_N2_2,fixedAmount_N2_2,IP12_2,Reward_N2_3,fixedAmount_N2_3,IP12_3,Reward_N3_1,fixedAmount_N3_1,IP13_1,Reward_N3_2,fixedAmount_N3_2,IP13_2,Reward_N3_3,fixedAmount_N3_3,IP13_3,Reward_N4_1,fixedAmount_N4_1,IP14_1,Reward_N4_2,fixedAmount_N4_2,IP14_2,Reward_N4_3,fixedAmount_N4_3,IP14_3,TotalWinAmount,finalN,finalReward,percentCorrect_N1,percentCorrect_N2,percentCorrect_N3,percentCorrect_N4,percentCorrect,meanCorrectSpeechWords_N1,meanCorrectSpeechWords_N2,meanCorrectSpeechWords_N3,meanCorrectSpeechWords_N4,meanCorrectSpeechWords,mentaldemand_1,physicaldemand_1,temporaldemand_1,performance_1,effort_1,frustration_1,mentaldemand_2,physicaldemand_2,temporaldemand_2,performance_2,effort_2,frustration_2,mentaldemand_3,physicaldemand_3,temporaldemand_3,performance_3,effort_3,frustration_3,mentaldemand_4,physicaldemand_4,temporaldemand_4,performance_4,effort_4,frustration_4
6299,win,4/15/21,13:18:24,108,1,1445413,1,2,1,0.53125,3,1,0.140625,4,1,0.3125,2,1,0.21875,3,1,0.796875,4,1,0.5625,2,1,0.21875,3,1,0.234375,4,1,0.1875,2,1,2,92,83,58,2,91,3.666666667,3.333333333,2.333333333,0.066666667,3.65,21,1,1,19,21,21,21,1,1,16,21,16,21,1,11,14,21,21,21,1,11,1,20,21
6299,win,4/15/21,10:15:45,105,1,1308068,1,2,X,1.71875,3,X,2.953125,4,X,3.5625,2,X,0.96875,3,X,2.484375,4,X,1.9375,2,X,1.21875,3,X,1.453125,4,1,3.9375,2,2,2,90,80,30,7,68,3.6,3.2,1.2,0.266666667,2.7,12,8,7,11,11,11,13,8,9,13,9,9,17,9,9,3,16,16,16,11,9,1,17,7
6299,win,4/15/21,10:50:51,89,1,2054948,1,2,X,1.40625,3,X,1.828125,4,X,3.4375,2,X,1.40625,3,X,1.640625,4,X,2.8125,2,X,1.03125,3,X,1.453125,4,X,1.9375,1.6875,1,1.6875,92,82,28,18,91,3.666666667,3.266666667,1.133333333,0.733333333,3.65,8,2,13,13,15,3,17,9,13,14,15,8,19,18,8,3,17,18,4,19,9,2,16,19
6265,win,4/15/21,14:02:14,111,1,2293988,1,2,X,0.28125,3,X,0.796875,4,X,0.3125,2,X,1.21875,3,X,1.734375,4,X,0.0625,2,X,0.03125,3,X,1.078125,4,X,0.0625,1,1,1,88,82,30,8,73,3.533333333,3.266666667,1.2,0.333333333,2.9,20,18,12,19,21,4,19,19,5,21,18,5,21,21,8,7,21,15,21,21,4,1,21,17
6265,mac,4/15/21,13:52:15,121,1,2131866,1,2,X,1.96875,3,X,2.953125,4,X,0.9375,2,X,0.03125,3,X,0.328125,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,1.5,1,1.5,83,77,28,0,80,3.333333333,3.066666667,1.133333333,0,3.2,3,1,9,7,10,15,15,5,12,13,15,16,16,6,15,2,10,16,21,14,16,1,15,21
6299,mac,4/15/21,13:59:43,122,1,1285098,1,2,X,0.71875,3,X,2.203125,4,X,2.3125,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,3,1,3,90,88,40,7,86,3.6,3.533333333,1.6,0.266666667,3.45,16,1,13,20,16,14,20,2,15,19,20,18,21,1,14,4,19,21,21,1,15,1,21,21
6299,and,4/15/21,11:09:42,120,1,1628506,0,2,X,0.90625,3,X,1.921875,4,X,2.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,0.75,1,0.75,85,77,60,15,90,3.4,3.066666667,2.4,0.6,3.6,9,6,4,16,7,1,9,4,4,14,9,4,10,6,6,12,13,5,18,8,9,4,16,8
6299,win,4/15/21,18:19:03,86,1,1616678,1,2,X,1.96875,3,X,2.484375,4,1,3.9375,2,1,1.96875,3,X,2.859375,4,X,1.9375,2,1,1.96875,3,1,2.953125,4,X,1.9375,2,1,2,33,35,5,3,29,1.333333333,1.4,0.2,0.133333333,1.15,21,21,21,20,19,6,20,19,19,17,17,3,18,15,14,14,14,14,20,18,18,16,16,7
6299,win,4/15/21,15:17:31,84,1,1522911,1,2,X,0.46875,3,X,0.328125,4,X,0.9375,2,X,0.03125,3,X,0.140625,4,X,0.4375,2,X,0.40625,3,X,0.328125,4,X,0.1875,3,3,3,62,28,15,0,10,2.466666667,1.133333333,0.6,0,0.4,17,15,18,13,18,18,21,21,21,1,21,21,21,21,21,1,21,21,21,21,21,1,21,21
6299,win,4/15/21,14:12:44,90,1,1504219,1,2,X,0.71875,3,X,2.765625,4,X,1.9375,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,X,0.03125,3,X,0.046875,4,X,0.0625,2,1,2,83,85,47,20,85,3.333333333,3.4,1.866666667,0.8,3.4,16,5,3,17,19,14,18,16,2,17,19,14,21,19,7,5,21,19,21,20,15,2,21,21
